start_node,end_node,branch,diameter,length,material,insulation,laying_type,waypoints,source
Н1,УК1,supply,426,25.36,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н1,УК1,return,426,25.36,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК1,Н2,supply,426,24.46,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК1,Н2,return,426,24.46,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н2,УТ1,supply,426,9.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н2,УТ1,return,426,9.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УТ1,УП2,supply,426,4.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УТ1,УП2,return,426,4.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УП2,Н3,supply,426,22.20,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УП2,Н3,return,426,22.20,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н3,УК2,supply,426,147.96,Steel,PPU+PE,underground_ducted,"116513.566,110355.359,26.152","ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н3,УК2,return,426,147.96,Steel,PPU+PE,underground_ducted,"116513.566,110355.359,26.152","ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК2,ТК-2,supply,426,96.94,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК2,ТК-2,return,426,96.94,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-2,Н7,supply,426,79.52,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-2,Н7,return,426,79.52,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н7,УК6,supply,325,32.55,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н7,УК6,return,325,32.55,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК6,Н9,supply,325,32.64,Steel,PPU+PE,underground_ducted,"116656.272,110306.005,25.841;116677.673,110297.578,25.785","ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК6,Н9,return,325,32.64,Steel,PPU+PE,underground_ducted,"116656.272,110306.005,25.841;116677.673,110297.578,25.785","ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н9,ТК-3,supply,325,87.21,Steel,PPU+PE,underground_ducted,"116688.838,110293.181,25.792;116694.421,110290.983,25.814;116697.492,110283.922,25.842;116709.503,110278.949,25.890;116756.995,110259.287,26.079","ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н9,ТК-3,return,325,87.21,Steel,PPU+PE,underground_ducted,"116688.838,110293.181,25.792;116694.421,110290.983,25.814;116697.492,110283.922,25.842;116709.503,110278.949,25.890;116756.995,110259.287,26.079","ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-3,ТК-4,supply,325,140.15,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-3,ТК-4,return,325,140.15,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
