name,node_type,x,y,z_surface,z_pipe_bottom,source
Н1,support,116355.825,110420.510,27.49,28.74,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК1,compensator,116379.417,110411.221,28.05,28.69,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н2,support,116402.175,110402.259,27.66,28.64,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УТ1,street_unit,116410.550,110398.962,27.66,28.62,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УП2,support,116412.145,110395.294,27.92,26.38,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н3,support,116432.801,110387.160,27.94,26.24,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК2,compensator,116456.658,110377.766,27.70,26.09,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-2,chamber,116546.859,110342.249,27.84,25.65,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н7,support,116620.850,110313.114,27.77,25.82,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК6,compensator,116652.885,110307.339,27.80,25.85,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н9,support,116683.256,110295.380,28.05,25.77,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-3,chamber,116759.864,110258.100,28.29,26.09,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-4,chamber,116889.356,110204.489,27.78,25.97,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
