start_node,end_node,branch,diameter,length,material,insulation,laying_type,waypoints,source
Н1,УК1,supply,426,25.36,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н1,УК1,return,426,25.36,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК1,Н2,supply,426,24.46,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК1,Н2,return,426,24.46,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н2,УТ1,supply,426,9.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н2,УТ1,return,426,9.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УТ1,УП2,supply,426,4.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УТ1,УП2,return,426,4.00,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УП2,Н3,supply,426,22.20,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УП2,Н3,return,426,22.20,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н3,УК2,supply,426,147.96,Steel,PPU+PE,underground_ducted,"116513.419,110354.987,26.152","ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н3,УК2,return,426,147.96,Steel,PPU+PE,underground_ducted,"116513.713,110355.731,26.152","ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК2,ТК-2,supply,426,96.94,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК2,ТК-2,return,426,96.94,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-2,Н7,supply,426,79.52,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-2,Н7,return,426,79.52,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н7,УК6,supply,325,32.55,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н7,УК6,return,325,32.55,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК6,Н9,supply,325,32.64,Steel,PPU+PE,underground_ducted,"116656.144,110305.679,25.841;116677.545,110297.252,25.785","ось трассы — DWG л.2, слой _ПР_Теплосеть"
УК6,Н9,return,325,32.64,Steel,PPU+PE,underground_ducted,"116656.400,110306.331,25.841;116677.801,110297.904,25.785","ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н9,ТК-3,supply,325,87.21,Steel,PPU+PE,underground_ducted,"116688.710,110292.855,25.792;116694.158,110290.710,25.814;116697.227,110283.653,25.842;116709.369,110278.626,25.890;116756.861,110258.964,26.079","ось трассы — DWG л.2, слой _ПР_Теплосеть"
Н9,ТК-3,return,325,87.21,Steel,PPU+PE,underground_ducted,"116688.966,110293.507,25.792;116694.684,110291.256,25.814;116697.757,110284.191,25.842;116709.637,110279.272,25.890;116757.129,110259.610,26.079","ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-3,ТК-4,supply,325,140.15,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
ТК-3,ТК-4,return,325,140.15,Steel,PPU+PE,underground_ducted,,"ось трассы — DWG л.2, слой _ПР_Теплосеть"
