name,node_type,x,y,z_surface,z_pipe_bottom,source
Н1,support,116355.678,110420.138,27.49,28.74,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК1,compensator,116379.270,110410.849,28.05,28.69,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н1,support,116355.972,110420.882,27.49,28.74,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК1,compensator,116379.564,110411.593,28.05,28.69,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н2,support,116402.028,110401.887,27.66,28.64,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н2,support,116402.322,110402.631,27.66,28.64,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УТ1,street_unit,116410.403,110398.590,27.66,28.62,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УТ1,street_unit,116410.697,110399.334,27.66,28.62,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УП2,support,116411.778,110395.134,27.92,26.38,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УП2,support,116412.512,110395.454,27.92,26.38,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н3,support,116432.654,110386.788,27.94,26.24,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н3,support,116432.948,110387.532,27.94,26.24,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК2,compensator,116456.805,110378.138,27.70,26.09,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК2,compensator,116456.511,110377.394,27.70,26.09,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-2,chamber,116546.712,110341.877,27.84,25.65,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-2,chamber,116547.006,110342.621,27.84,25.65,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н7,support,116620.703,110312.742,27.77,25.82,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н7,support,116620.997,110313.486,27.77,25.82,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК6,compensator,116652.823,110306.995,27.80,25.85,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
УК6,compensator,116652.947,110307.683,27.80,25.85,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н9,support,116683.128,110295.054,28.05,25.77,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
Н9,support,116683.384,110295.706,28.05,25.77,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-3,chamber,116759.730,110257.777,28.29,26.09,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-3,chamber,116759.998,110258.423,28.29,26.09,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-4,chamber,116889.222,110204.166,27.78,25.97,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
ТК-4,chamber,116889.490,110204.812,27.78,25.97,XY — DWG л.2 (остриё выноски); Z — профиль л.5 через data/samples
