start_node,end_node,branch,diameter,length,material,insulation,laying_type,source
УТ-1,Н1,supply,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ)
УТ-1,Н1,return,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ)
Н1,УК1,supply,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ)
Н1,УК1,return,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ)
УК1,Н2,supply,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ)
УК1,Н2,return,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ)
Н2,УП2,supply,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ; переходит в подземную сразу за УП2)
Н2,УП2,return,426,50,Steel,PUR-OC,overhead,спецификация л.1 (Ст 426х9.0/560 ППУ-ОЦ; переходит в подземную сразу за УП2)
УП2,Н3,supply,426,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-400) + спецификация (Ст 426х9.0/560 ППУ-ПЭ)
УП2,Н3,return,426,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-400) + спецификация (Ст 426х9.0/560 ППУ-ПЭ)
Н3,УК2,supply,426,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-400) + спецификация (Ст 426х9.0/560 ППУ-ПЭ)
Н3,УК2,return,426,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-400) + спецификация (Ст 426х9.0/560 ППУ-ПЭ)
УК2,Н7,supply,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
УК2,Н7,return,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
Н7,УК6,supply,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
Н7,УК6,return,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
УК6,Н9,supply,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
УК6,Н9,return,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
Н9,ТК-2,supply,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
Н9,ТК-2,return,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
ТК-2,ТК-3,supply,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
ТК-2,ТК-3,return,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
ТК-3,ТК-4,supply,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
ТК-3,ТК-4,return,325,50,Steel,PUR-PE,underground_ducted,профиль л.5 (канал К-300) + спецификация (Ст 325х8.0/450 ППУ-ПЭ)
