name,node_type,x,y,z_surface,z_pipe_bottom,source
УТ-1,street_unit,0,0,27.91,28.62,профиль л.5 (реальная отметка)
Н1,support,50,0,27.63,28.74,профиль л.5 (реальная отметка)
УК1,compensator,100,0,27.94,28.69,профиль л.5 (реальная отметка)
Н2,support,150,0,28.01,28.64,профиль л.5 (реальная отметка)
УП2,support,200,0,28.06,26.38,профиль л.5 (реальная отметка; переход надземн.->подземн.)
Н3,support,250,0,27.89,26.24,профиль л.5 (реальная отметка)
УК2,compensator,300,0,27.72,26.09,профиль л.5 (реальная отметка)
Н7,support,350,0,27.77,25.82,профиль л.5 (реальная отметка)
УК6,compensator,400,0,27.79,25.85,профиль л.5 (реальная отметка)
Н9,support,450,0,27.94,25.77,профиль л.5 (реальная отметка)
ТК-2,chamber,500,0,27.87,25.65,профиль л.5 (реальная отметка)
ТК-3,chamber,550,0,28.30,26.09,профиль л.5 (реальная отметка)
ТК-4,chamber,600,0,27.78,25.97,профиль л.5 (реальная отметка)
